Name,Latitude,Longitude
Piccadilly Rail Station,53.47874,-2.232454
Daisy Bank Road,53.45715,-2.217291
Faraday Street,53.482927,-2.23343
Chatham Street,53.47985,-2.233681
Hilton Street,53.48191,-2.232984
Great Ancoats Street,53.47876,-2.221244
Clitheroe Road,53.45287,-2.203371
Piccadilly Gardens,53.48144,-2.235483
St Agnes Church,53.45045,-2.197155
Piccadilly Gardens,53.48131,-2.23645
Elsdon Road,53.44791,-2.201992
Travis Street,53.47568,-2.230795
Travis Street,53.475037,-2.229948
Travis Street,53.47561,-2.230237
Burgess Primary School,53.5056,-2.211735
Manchester Piccadilly Rail Station,53.47683,-2.231464
Piccadilly Rail,53.47871,-2.232966
Burgess Primary School,53.50485,-2.209484
Asda,53.45715,-2.198542
Piccadilly,53.48009,-2.233652
Piccadilly,53.48042,-2.234
Piccadilly,53.4804,-2.234211
Asda,53.45696,-2.198812
Piccadilly Gardens,53.4812,-2.236
Piccadilly Gardens,53.48161,-2.236719
Piccadilly Gardens,53.48196,-2.236375
Chancellor Lane,53.47512,-2.215168
Every Street,53.48121,-2.215456
Fallowfield Shopping Centre,53.44271,-2.205595
Lytham Road,53.44571,-2.206468
Old Hall Lane,53.44772,-2.20714
Telfer Road,53.44947,-2.208158
Birch Hall Lane,53.45096,-2.209113
Dickenson Road,53.45351,-2.211249
Denison Road,53.45626,-2.215961
Daisy Bank Road,53.45759,-2.218272
Grosvenor Street,53.47078,-2.233541
Booth Street East,53.46915,-2.231679
Brunswick Street,53.46786,-2.230135
Upper Brook Street,53.46519,-2.226009
Hyde Grove,53.46396,-2.221544
Lincoln Grove,53.46292,-2.217758
Winterford Avenue,53.46238,-2.215752
Richmond Grove,53.46034,-2.20934
Clarence Road,53.45981,-2.205843
Clarence Road,53.4597,-2.205632
Daisy Bank Road,53.46011,-2.209053
Hathersage Road,53.4612,-2.212296
Winterford Avenue,53.46255,-2.216882
Lincoln Grove,53.46312,-2.218964
Hyde Grove,53.46386,-2.221618
Upper Brook Street,53.46507,-2.226098
Grafton Street,53.4639,-2.225429
Swinton Grove,53.461371,-2.22254
Hathersage Road,53.45869,-2.219423
Denison Road,53.4552,-2.213773
Upper Kent Road,53.45461,-2.212625
Birchfields Avenue,53.45197,-2.209736
Telfer Road,53.44905,-2.207704
Old Hall Lane,53.44681,-2.206594
Lytham Road,53.44458,-2.205935
Fallowfield Shopping Centre,53.44367,-2.20566
